Sum of Goles,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,Grand Total
 Argentina,31,,,31,,,,,,30,36,35,30,32,,36,28,38,31,38,32,24,27,27,30,,,35,33,30,36,33,26,29,27,29,23,33,23,,,,,,,,,,,,26,,,,,,,,13,13,,,,9,,16,,,,32,34,,,,1036
 Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
 Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
 Colombia,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,25,30,25,34,32,24,36,36,37,,24,58,39,30,43,40,37,29,29,34,56,24,18,44,13,30,31,58,,13,46,28,31,1084
Argentina,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
Colombia,,,,,19,20,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
Paraguay,,,27,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,67
Uruguay,,,,,,,,,,,,,,,36,36,,,,,,,27,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
Grand Total,31,42,27,31,19,20,21,22,21,30,36,35,30,32,36,72,28,38,31,38,32,24,54,54,30,36,33,35,33,30,36,33,26,29,27,29,23,33,23,23,29,25,30,25,34,32,24,36,36,37,26,24,58,39,30,43,40,37,42,42,34,56,24,40,44,29,30,31,58,32,47,46,28,31,2502
